genus_species,genus,species,latitude,longitude,location_description,realm_general3,acclim_temp,acclim_time,parameter_value,parameter_tmax_or_tmin,error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate,ramping_to_reach_st,duration_of_chronic_exposure,temp_before_pretreament_held_or_ff_for_field_fresh,timing_of_collection,elevation_of_collection,ref,life_stage,phylum,class,order,family,realm_specific,realm_general,notes,extractor,original_compilation,n_cat,record_number,record,family1,family2,genus2,species2,family3,genus3,species3,n_comment,raw_ctm2,acclim,acclim_time_life_120,log_acclim_time,safety,photoperiod,ep1,ep2,elevation,log_elevation,geog_cat,abs_lat,log_abs_lat,source,comments,year,citation,range,log_range,introduced,elev_min,elev_max,svl,log_svl,tmxslope,bioclim5,iucn_2014,iucn_2104risk,sampling_habitat,acclimation,rate_acclimation_c_day,methodology,length_experiment_min,body_length_mm,weight_g,phylogeny,reference,realm_general2,acclim_time_original,acclim_time_units
Fundulus parvipinnis,Fundulus,parvipinnis,32.779217,-117.2342,"Mission Bay, San Diego, USA",Aquatic,28,57,36.9,tmax,NA,"NA",NA,lethal,50percent_survival,NA,"NA",24h,held,summer,"NA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,57-63d,days
Fundulus parvipinnis,Fundulus,parvipinnis,32.779217,-117.2342,"Mission Bay, San Diego, USA",Aquatic,28,57,36.5,tmax,NA,"NA",NA,lethal,50percent_survival,NA,"NA",48h,held,summer,"NA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,57-63d,days
Fundulus parvipinnis,Fundulus,parvipinnis,32.779217,-117.2342,"Mission Bay, San Diego, USA",Aquatic,28,57,36.5,tmax,NA,"NA",NA,lethal,50percent_survival,NA,"NA",72h,held,summer,"NA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,57-63d,days
Fundulus parvipinnis,Fundulus,parvipinnis,32.779217,-117.2342,"Mission Bay, San Diego, USA",Aquatic,28,57,36.5,tmax,NA,"NA",NA,lethal,50percent_survival,NA,"NA",96h,held,summer,"NA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,57-63d,days
Fundulus parvipinnis,Fundulus,parvipinnis,32.779217,-117.2342,"Mission Bay, San Diego, USA",Aquatic,28,57,36.5,tmax,NA,"NA",NA,lethal,50percent_survival,NA,"NA",120h,held,summer,"NA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,57-63d,days
Fundulus parvipinnis,Fundulus,parvipinnis,32.779217,-117.2342,"Mission Bay, San Diego, USA",Aquatic,28,57,36.5,tmax,NA,"NA",NA,lethal,50percent_survival,NA,"NA",140h,held,summer,"NA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,57-63d,days
Fundulus parvipinnis,Fundulus,parvipinnis,32.779217,-117.2342,"Mission Bay, San Diego, USA",Aquatic,20,51,36.1,tmax,NA,"NA",NA,lethal,50percent_survival,NA,"NA",0.5h,held,summer,"NA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,30-51d,days
Fundulus parvipinnis,Fundulus,parvipinnis,32.779217,-117.2342,"Mission Bay, San Diego, USA",Aquatic,20,51,36.1,tmax,NA,"NA",NA,lethal,50percent_survival,NA,"NA",1h,held,summer,"NA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,30-51d,days
Fundulus parvipinnis,Fundulus,parvipinnis,32.779217,-117.2342,"Mission Bay, San Diego, USA",Aquatic,20,51,35.8,tmax,NA,"NA",NA,lethal,50percent_survival,NA,"NA",3h,held,summer,"NA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,30-51d,days
Fundulus parvipinnis,Fundulus,parvipinnis,32.779217,-117.2342,"Mission Bay, San Diego, USA",Aquatic,20,51,35.8,tmax,NA,"NA",NA,lethal,50percent_survival,NA,"NA",6h,held,summer,"NA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,30-51d,days
Fundulus parvipinnis,Fundulus,parvipinnis,32.779217,-117.2342,"Mission Bay, San Diego, USA",Aquatic,20,51,35.7,tmax,NA,"NA",NA,lethal,50percent_survival,NA,"NA",12h,held,summer,"NA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,30-51d,days
Fundulus parvipinnis,Fundulus,parvipinnis,32.779217,-117.2342,"Mission Bay, San Diego, USA",Aquatic,20,51,35.5,tmax,NA,"NA",NA,lethal,50percent_survival,NA,"NA",24h,held,summer,"NA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,30-51d,days
Fundulus parvipinnis,Fundulus,parvipinnis,32.779217,-117.2342,"Mission Bay, San Diego, USA",Aquatic,20,51,35.4,tmax,NA,"NA",NA,lethal,50percent_survival,NA,"NA",48h,held,summer,"NA",Doudoroff_1945,adult,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,NA,marine,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,30-51d,days
