Genus,Species,parameter_value,parameter_(tmax_or_tmin),error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate_°Cmin-1,duration_of_chronic_exposure,pretreatment_temp_°C,pretreatment_duration,temp_before_pretreament_(held_or_FF_for_field_fresh),timing_of_collection,lat_of_collection,long_of_collection,elevation_of_collection_(ft),location_description,REF,life_stage,Phylum,Class,Order,Family,Realm_specific,Realm_general,Notes
Pseudophryne,bibroni,32.4,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,5,NA,NA,Winter,37°S,,1000,Warrenbayne_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Pseudophryne,bibroni,35.2,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,5,NA,NA,Winter,37°S,,1000,Warrenbayne_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Pseudophryne,bibroni,33.7,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,10,NA,NA,Winter,37°S,,1000,Warrenbayne_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Pseudophryne,bibroni,35.6,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,10,NA,NA,Winter,37°S,,1000,Warrenbayne_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Pseudophryne,bibroni,35.0,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,20,NA,NA,Winter,37°S,,1000,Warrenbayne_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Pseudophryne,bibroni,37.2,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,20,NA,NA,Winter,37°S,,1000,Warrenbayne_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Lanius,collaris,,,,,,,,,,,,,,,,,,Soobramoney_et_al_2003,,,,,,,,
Spalacopus,cyanus,,,,,,,,,,,,,,,,,,,,,,,,,,
Acomys,Russatus,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamias,minimus,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclopes,didactylus,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoarces,viviparus,25.7,tmax,1.2,SD,7,critical,Loss_of_equilibrium_(LE),1,,12,4w,NA,NA,NA,NA,NA,Baltic_Sea_Kiel_Bight_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Each group (Baltic Sea vs North Sea) was measured for 5 days for both LE and OS respones. This line is time of measurement 0h
Zoarces,viviparus,27.1,tmax,1.0,SD,6,critical,Loss_of_equilibrium_(LE),1,,12,4w,NA,NA,NA,NA,NA,Baltic_Sea_Kiel_Bight_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 24h
Zoarces,viviparus,27.2,tmax,0.5,SD,4,critical,Loss_of_equilibrium_(LE),1,,12,4w,NA,NA,NA,NA,NA,Baltic_Sea_Kiel_Bight_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 48h
Zoarces,viviparus,27.4,tmax,0.5,SD,6,critical,Loss_of_equilibrium_(LE),1,,12,4w,NA,NA,NA,NA,NA,Baltic_Sea_Kiel_Bight_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 72h
Zoarces,viviparus,27.0,tmax,0.9,SD,5,critical,Loss_of_equilibrium_(LE),1,,12,4w,NA,NA,NA,NA,NA,Baltic_Sea_Kiel_Bight_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 96h
Zoarces,viviparus,28.0,tmax,1.0,SD,7,critical,Onset_of_spasms_(OS),1,,12,4w,NA,NA,NA,NA,NA,Baltic_Sea_Kiel_Bight_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 0h
Zoarces,viviparus,29.1,tmax,0.6,SD,6,critical,Onset_of_spasms_(OS),1,,12,4w,NA,NA,NA,NA,NA,Baltic_Sea_Kiel_Bight_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 24h
Zoarces,viviparus,28.8,tmax,0.9,SD,6,critical,Onset_of_spasms_(OS),1,,12,4w,NA,NA,NA,NA,NA,Baltic_Sea_Kiel_Bight_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 48h
Zoarces,viviparus,28.8,tmax,0.8,SD,6,critical,Onset_of_spasms_(OS),1,,12,4w,NA,NA,NA,NA,NA,Baltic_Sea_Kiel_Bight_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 72h
Zoarces,viviparus,28.6,tmax,1.1,SD,6,critical,Onset_of_spasms_(OS),1,,12,4w,NA,NA,NA,NA,NA,Baltic_Sea_Kiel_Bight_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 96h
Zoarces,viviparus,27.1,tmax,0.9,SD,5,critical,Loss_of_equilibrium_(LE),1,,12,4w,NA,NA,NA,NA,NA,North_Sea_Island_Helgoland_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 0h
Zoarces,viviparus,26.4,tmax,0.2,SD,2,critical,Loss_of_equilibrium_(LE),1,,12,4w,NA,NA,NA,NA,NA,North_Sea_Island_Helgoland_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 24h
Zoarces,viviparus,25.4,tmax,0.8,SD,3,critical,Loss_of_equilibrium_(LE),1,,12,4w,NA,NA,NA,NA,NA,North_Sea_Island_Helgoland_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 48h
Zoarces,viviparus,26.3,tmax,1.5,SD,4,critical,Loss_of_equilibrium_(LE),1,,12,4w,NA,NA,NA,NA,NA,North_Sea_Island_Helgoland_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 72h
Zoarces,viviparus,27.5,tmax,0.6,SD,3,critical,Loss_of_equilibrium_(LE),1,,12,4w,NA,NA,NA,NA,NA,North_Sea_Island_Helgoland_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 96h
Zoarces,viviparus,29.1,tmax,0.2,SD,5,critical,Onset_of_spasms_(OS),1,,13,4w,NA,NA,NA,NA,NA,North_Sea_Island_Helgoland_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 0h
Zoarces,viviparus,28.8,tmax,1.1,SD,5,critical,Onset_of_spasms_(OS),1,,14,4w,NA,NA,NA,NA,NA,North_Sea_Island_Helgoland_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 24h
Zoarces,viviparus,284,tmax,1.1,SD,4,critical,Onset_of_spasms_(OS),1,,15,4w,NA,NA,NA,NA,NA,North_Sea_Island_Helgoland_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 48h
Zoarces,viviparus,28.5,tmax,1.4,SD,4,critical,Onset_of_spasms_(OS),1,,16,4w,NA,NA,NA,NA,NA,North_Sea_Island_Helgoland_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 72h
Zoarces,viviparus,29.1,tmax,0.5,SD,4,critical,Onset_of_spasms_(OS),1,,17,4w,NA,NA,NA,NA,NA,North_Sea_Island_Helgoland_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 96h
Dumontia,contorta,26.0,tmax,NA,NA,>100,lethal ,Temperature_at_100%_mortality,NA,82d,NA,NA,12,Summer,49°N,,NA,Chenal_d'ile_Verte_Roscoff_Brittany_France,Rietema_&_Breeman_1982,Microthalli,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,Marine,Aquatic,"The article was saying that they died gradually, but with no precision about the duration"
Dumontia,contorta,26.0,tmax,NA,NA,>100,lethal ,Temperature_at_100%_mortality,NA,82d,NA,NA,12,Summer,54°N,,NA,Isle_of_Man_Port_St.Mary_UK,Rietema_&_Breeman_1983,Microthalli,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,Marine,Aquatic,"The article was saying that they died gradually, but with no precision about the duration"
Dumontia,contorta,26.0,tmax,NA,NA,>100,lethal ,Temperature_at_100%_mortality,NA,82d,NA,NA,12,Spring,51°05'N,,NA,Lake_Grevelingen_Zeeland_SW_Netherlands,Rietema_&_Breeman_1984,Microthalli,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,Marine,Aquatic,"The article was saying that they died gradually, but with no precision about the duration"
Dipsosaurus,dorsalis,47.5,tmax,NA,NA,6,critical ,Loss_righting_reflex,NA,,NA,NA,NA,NA,NA,NA,NA,Indian_Wells_Colorado_Desert,Cowles_&_Bogert_1944,Adults,Chordata,Lepidosauria,Squamata,Iguanidae,Desert,Terrestrial ,Cloacal temperature 
Dipsosaurus,dorsalis,47,tmax,NA,NA,6,critical ,Loss_righting_reflex,NA,,NA,NA,NA,NA,NA,NA,NA,Saltdale_Mojave_Desert,Cowles_&_Bogert_1944,Adults,Chordata,Lepidosauria,Squamata,Iguanidae,Desert,Terrestrial ,Cloacal temperature 
Dipsosaurus,dorsalis,13.8,tmin,1.2,SD,12,critical,Loss_righting_reflex,1,,15-65,NA,25-65,Summer,34°09'N,116°03'W,NA,Twentynine_Palms_California,Simandle_et_al_2001,Adults,Chordata,Lepidosauria,Squamata,Iguanidae,Desert,Terrestrial ,Diet with saturated fat. CTMin was recorded as the temperature at which the lizard could no longer right itself after 30 sec 
Dipsosaurus,dorsalis,14.2,tmin,1.0,SD,14,critical,Loss_righting_reflex,1,,15-66,NA,25-66,Summer,34°09'N,116°03'W,NA,Twentynine_Palms_California,Simandle_et_al_2001,Adults,Chordata,Lepidosauria,Squamata,Iguanidae,Desert,Terrestrial ,Diet with unsaturated fat. CTMin was recorded as the temperature at which the lizard could no longer right itself after 30 sec 
Desmarestia,aculeata,22.4,tmax,NA,NA,NA,lethal ,Temperature_at_50%_survival,NA,2w,15,4w,10,NA,49°N,125°W,NA,Western_Canada,Peters_&_Breeman_1992,Gametophyte,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,Marine,Aquatic,
Desmarestia,aculeata,21.8,tmax,NA,NA,NA,lethal ,Temperature_at_50%_survival,NA,2w,15,4w,10,NA,49°N,125°W,NA,Western_Canada,Peters_&_Breeman_1992,Gametophyte,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,Marine,Aquatic,
Desmarestia,aculeata,22.6,tmax,NA,NA,NA,lethal ,Temperature_at_50%_survival,NA,2w,15,4w,10,NA,54°09'N,07°52'E,NA,Helgoland_Germany,Peters_&_Breeman_1992,Gametophyte,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,Marine,Aquatic,
Desmarestia,aculeata,24.5,tmax,NA,NA,NA,lethal ,Temperature_at_50%_survival,NA,2w,15,4w,10,NA,54°09'N,07°52'E,NA,Helgoland_Germany,Peters_&_Breeman_1992,Gametophyte,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,Marine,Aquatic,
Desmarestia,viridis,26.4,tmax,NA,NA,NA,lethal ,Temperature_at_50%_survival,NA,2w,20,4w,10,NA,47°19'N,52°50'W,NA,Newfoundland_Canada,Peters_&_Breeman_1992,Gametophyte,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,Marine,Aquatic,
Desmarestia,viridis,26.4,tmax,NA,NA,NA,lethal ,Temperature_at_50%_survival,NA,2w,20,4w,10,NA,48°40'N,04°12'W,NA,Brittany_France,Peters_&_Breeman_1993,Gametophyte,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,Marine,Aquatic,
Desmarestia,viridis,26.7,tmax,NA,NA,NA,lethal ,Temperature_at_50%_survival,NA,2w,20,4w,10,NA,54°09'N,07°52'E,NA,Helgoland_Germany,Peters_&_Breeman_1994,Gametophyte,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,Marine,Aquatic,
Desmarestia,viridis,27.2,tmax,NA,NA,NA,lethal ,Temperature_at_50%_survival,NA,2w,20,4w,10,NA,42°21'N,140°59'E,NA,Hokkaido_Japan,Peters_&_Breeman_1995,Gametophyte,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,Marine,Aquatic,
Desmarestia,viridis,27.4,tmax,NA,NA,NA,lethal ,Temperature_at_50%_survival,NA,2w,20,4w,10,NA,42°21'N,140°59'E,NA,Hokkaido_Japan,Peters_&_Breeman_1996,Gametophyte,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,Marine,Aquatic,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
